"date","year","description"
"1987-2-10","1987","en España, cien mil profesores de centros privados hacen huelga, lo que afecta a dos millones y medio de alumnos."
"1988-2-10","1988","la OTAN acepta el modelo propuesto por el Gobierno español para cooperar en la defensa del territorio de la Alianza."
"1989-2-10","1989","en Jamaica, el socialdemócrata Michael Manley gana por amplio margen en las elecciones."
"1990-2-10","1990","en Sudáfrica, el presidente Frederik de Klerk anuncia que el líder negro Nelson Mandela será liberado al día siguiente."
"1990-2-10","1990","Volkswagen obtiene la adjudicación de las fábricas checoslovacas de Škoda."
"1991-2-10","1991","Lituania celebra un referéndum popular ―que el presidente de Rusia Mijaíl Gorbachov declara ilegal― en el que el 90,"
"1992-2-10","1992","en Alemania se organiza un puente aéreo que parte desde Fráncfort para enviar ayuda a las antiguas repúblicas soviéticas en el que intervienen numerosos estados europeos occidentales y Estados Unidos."
"1993-2-10","1993","en España, Mario Conde pacta con la banca estadounidense J. P. Morgan la ampliación de capital de Banesto."
"1994-2-10","1994","Brasil, Portugal y cinco naciones africanas constituyen en Brasilia la Comunidad de Lengua Portuguesa."
"1995-2-10","1995","en el marco de la guerra del Cenepa, la Fuerza Aérea de Ecuador derriba dos aviones de la Fuerza Aérea del Perú en el tercer combate aéreo de Sudamérica.[1]"
"1996-2-10","1996","en los Estados Unidos, la supercomputadora IBM Deep Blue derrota por primera vez a Garry Kasparov (campeón mundial de ajedrez)."
"1997-2-10","1997","en Madrid, la banda terrorista ETA asesina al magistrado del Tribunal Supremo, Rafael Martínez, y en Granada al peluquero civil de la base militar de Armilla, Domingo Puente Marín."
"1998-2-10","1998","en Francia, la Asamblea Nacional aprueba el proyecto de semana laboral de "
"1998-2-10","1998","en Guatemala se lleva a cabo la primera ejecución por inyección letal desde que una ley de 1966 dejara caduco el fusilamiento, Manuel Martínez Coronado es ejecutado."
"1998-2-10","1998","en el estado de Maine (Estados Unidos), los votantes rechazan la ley de derechos LGBT aprobada en 1997, convirtiéndose en el primer estado de ese país en abandonar esa ley."
"1998-2-10","1998","en Argentina, el presidente Carlos Menem firma la concesión de "
"1998-2-10","1998","en China, dos equipos de paleontólogos encuentran los indicios de antiguos animales marinos y embriones perfectamente conservados en depósitos fósiles."
"1998-2-10","1998","El cantante puertorriqueño Ricky Martin, lanza al mercado su cuarto álbum de estudio Vuelve."
"1999-2-10","1999","en Siria, Hafez al-Asad es reelegido como presidente."
"2001-2-10","2001","el submarino nuclear estadounidense USS Greeneville, por error, colisiona al buque escuela japonés Ehime Maru"
"2002-2-10","2002","en Mazatlán, Sinaloa, México, asesinan a Ramón Arellano Félix, exlíder de la organización criminal Cártel de Tijuana en un enfrentamiento armado con la policía ministerial de dicha ciudad.[cita requerida]"
"2003-2-10","2003","Alemania, Bélgica y Francia bloquean la petición de Estados Unidos a la OTAN de planificar la eventual defensa militar de Turquía, país fronterizo con Irak."
"2004-2-10","2004","al norte de Burdeos (Francia) la policía detiene a dos responsables del aparato logístico de ETA."
"2004-2-10","2004","Sale el álbum debut The College Dropout del rapero estadounidense Kanye West"
"2005-2-10","2005","en Gaza, la organización palestina Hamás rompe la tregua pactada dos días antes en Egipto por los líderes israelí y palestino, y lanza "
"2005-2-10","2005","en Inglaterra, el príncipe Carlos de Gales anuncia su boda con Camila Parker."
"2006-2-10","2006","en Rabat, 100."
"2007-2-10","2007","en Santiago de Chile se da inicio al plan de transporte público Transantiago."
"2009-2-10","2009","en el espacio sobre Siberia (Rusia), chocan en órbita los satélites de comunicaciones Iridium "
"2011-2-10","2011","Ray Allen pasa a la historia de la NBA al conseguir su triple 2561, superando así a Reggie Miller y convertirse en el jugador que más triples hizo en la historia de la NBA."
"2013-2-10","2013","en Prayagraj (India), sucede una estampida durante el festival hinduista Kumbha Mela, que reúne a cientos de miles de personas a orillas del sagrado río Ganges. Deja un saldo de "
"2021-2-10","2021","en Argentina, en una jornada oscura, se superan los dos millones de casos de COVID-19.[2]"
"2021-2-10","2021","Queen + Adam Lambert anuncia las nuevas fechas de la gira ""The Rhapsody Tour"" pospuesta por la pandemia de COVID-19."
"244-2-11","244","en Zaitha (Mesopotamia) el emperador Gordiano III es asesinado por sus soldados amotinados. En su memoria se levanta un túmulo en Karkemish (en la actual frontera entre Turquía y Siria)."
"660-2-11","660","el emperador Jinmu funda Japón."
"1177-2-11","1177","en Úlster, el ejército de John de Courcy (1160-1219) derrota al clan nativo Dunleavey. Los ingleses se establecen en la región."
"1531-2-11","1531","en Inglaterra, Enrique VIII se proclama cabeza de la Iglesia de Inglaterra por no haber anulado el papa romano su matrimonio con Catalina de Aragón."
"1534-2-11","1534","Enrique VIII de Inglaterra es reconocido como jefe supremo de la Iglesia de Inglaterra."
"1542-2-11","1542","en el actual Ecuador, Francisco de Orellana es el primer europeo en conocer el río Amazonas."
"1606-2-11","1606","en España, la Corte de Felipe III se traslada de Valladolid a Madrid."
"1723-2-11","1723","en Cuba se realiza el primer impreso del país, la Tarifa general de precios de medicina."
"1752-2-11","1752","en los Estados Unidos, Benjamin Franklin abre el hospital Pensilvania, el primero del país."
"1790-2-11","1790","en los Estados Unidos, la Sociedad Religiosa de los Amigos (también conocidos como los cuáqueros) solicita ante el congreso la abolición de la esclavitud."
"1794-2-11","1794","en los Estados Unidos se realiza la primera sesión del Senado de Estados Unidos abierta al público."
"1808-2-11","1808","en los Estados Unidos se quema experimentalmente por primera vez carbón de antracita como combustible."
"1809-2-11","1809","en los Estados Unidos, Robert Fulton patenta unas mejoras para la navegación con barcos a vapor."
"1812-2-11","1812","en los Estados Unidos, el gobernador de Massachusetts Elbridge Gerry (1744-1814) realiza el primer gerrimandraje."
"1820-2-11","1820","en las Provincias Unidas del Río de la Plata quedan disueltos el Directorio y el Congreso de Tucumán."
"1826-2-11","1826","en Inglaterra se funda el Colegio Universitario de Londres."
"1826-2-11","1826","en la India, el autodenominado dios hinduista Suami Naraian (1781-1830) escribe el Shikshapatri, un texto importante dentro del hinduismo swaminarayan (la religión que él creó)."
"1840-2-11","1840","en París, Gaetano Donizetti estrena su ópera La fille du régiment."
"1843-2-11","1843","en Milán, Giuseppe Verdi estrena su ópera I lombardi alla Prima Crociata."
"1856-2-11","1856","en la India, los británicos de la empresa Compañía Británica de las Indias Orientales invaden el reino de Awadh, encarcelan al rey Wajid Ali Shah y lo exilian a Calcuta."
"1858-2-11","1858","en Lourdes, Francia, la pastora Bernadette Sobirós dice haber visto a la Virgen."
"1869-2-11","1869","en España se abren las Cortes Constituyentes después del derrocamiento de Isabel II."
"1873-2-11","1873","en España, las Cortes aceptan la renuncia al trono de Amadeo de Saboya. Se proclama la I República, siendo nombrado presidente de la misma Estanislao Figueras."
"1874-2-11","1874","en París, Alejandro Dumas, hijo, ingresa en la Academia francesa."
"1890-2-11","1890","Inglaterra exige la retirada de las tropas portuguesas de Mashonalandia, dando fin al proyecto expansionista del Mapa rosado."
"1895-2-11","1895","Estados Unidos establece su protectorado sobre las islas Hawái."
"1895-2-11","1895","en Aberdeenshire (Reino Unido) se registra la temperatura más baja en el país hasta ese momento: –27,"
"1902-2-11","1902","en Bruselas, la policía reprime a mujeres activistas por el sufragio femenino."
"1903-2-11","1903","en Viena, Ánton Bruckner (1824-1896) estrena su 9.ª sinfonía."
"1904-2-11","1904","en España, los fuertes temporales provocan inundaciones en distintos puntos de la Península."
"1906-2-11","1906","el papa Pío X (1835-1914) publica su encíclica Vehementer nos."
"1906-2-11","1906","en la provincia de Jaén (España) una plaga de pulgón devasta los olivos."
"1909-2-11","1909","en El Escorial (Madrid) se produce un incendio en la Universidad de los Agustinos."
"1910-2-11","1910","en Barcelona se inician las pruebas con un monoplano Blériot, con motor Anzani de "
"1916-2-11","1916","en los Estados Unidos la policía arresta a la anarquista lituana Emma Goldman (1869-1940) por dar una conferencia a favor del control de la natalidad."
"1916-2-11","1916","en Alemania ―en el marco de la Primera Guerra Mundial―, el emperador Guillermo II ordena la intensificación de la ofensiva submarina."
"1919-2-11","1919","en Alemania, Friedrich Ebert es elegido democráticamente primer presidente de la República de Weimar."
"1924-2-11","1924","el Reino Unido reconoce al Gobierno de la Unión Soviética."
"1925-2-11","1925","en Portugal, el Gobierno es derrocado."
"1929-2-11","1929","en Roma se firman los Pactos de Letrán (entre la Santa Sede e Italia), por los que se crea la Ciudad del Vaticano."
"1930-2-11","1930","en México, la policía registra la delegación de los soviets."
"1931-2-11","1931","el Gobierno soviético ordena la «movilización de los especialistas agrícolas» para que trabajen gratuitamente durante dos meses en las fincas colectivizadas."
"1934-2-11","1934","en Colombia, los comunistas presentan su candidato indio en las elecciones presidenciales, en las que será elegido el líder del Partido Liberal Colombiano, Alfonso López Pumarejo."
"1937-2-11","1937","en los Estados Unidos termina una huelga cuando la empresa General Motors reconoce el United Auto Workers Union (sindicato de trabajadores automotrices unidos)."
"1938-2-11","1938","en Londres, la BBC produce el primer programa de televisión sobre ciencia ficción del mundo: una adaptación de RUR (obra de teatro de Karel Capek, donde aparece por primera vez la palabra robot, inventada por su hermano)."
"1939-2-11","1939","en España las tropas sublevadas se hacen con el poder de Llívia tras pedir permiso para ocuparla a las autoridades francesas. Al hacerse con Llivia consiguen ocupar toda Cataluña."
"1939-2-11","1939","en los Estados Unidos, un avión Lockheed P-"
"1940-2-11","1940","en España se restablece el Consejo de Estado."
"1940-2-11","1940","Alemania y la Unión Soviética firman un tratado sobre la entrega de materias primas y productos industriales."
"1940-2-11","1940","en México, Salvador Lutteroth funda al equipo de béisbol Rojos del México que posteriormente cambiaría su nombre a Diablos Rojos del México máximo ganador de títulos (16) de la Liga Mexicana de Béisbol"
"1941-2-11","1941","Aviones británicos bombardean la ciudad alemana de Hannover."
"1942-2-11","1942","en Singapur ―en el marco de la Segunda Guerra Mundial― se libra la batalla de Bukit Timah."
"1942-2-11","1942","poco después de las 22:"
"1943-2-11","1943","el general estadounidense Dwight D. Eisenhower toma el mando de los ejércitos aliados en el norte de África."
"1944-2-11","1944","es liberado en Colombia el jefe conservador Laureano Gómez, que había sido encarcelado a principios de año por calumnias al Gobierno."
"1945-2-11","1945","se clausura la Conferencia de Yalta, en la que Franklin Delano Roosevelt, Winston Churchill y Iósif Stalin acuerdan el reparto de poder en el mundo tras el final de la Segunda Guerra Mundial."
"1945-2-11","1945","la ciudad de Budapest es ocupada por fuerzas soviéticas."
"1947-2-11","1947","en el Rif, el antiguo cabecilla Abd el-Krim es liberado por las autoridades francesas."
"1948-2-11","1948","en Irlanda, el Fianna Fáil (partido del primer ministro Éamon de Valera), en el poder desde hace "
"1953-2-11","1953","en los Estados Unidos, el presidente Dwight D. Eisenhower rechaza el pedido de clemencia por Julius y Ethel Rosenberg, acusados de traición."
"1953-2-11","1953","en Chile, el pico de San Valentín, la cima máxima de la zona sur patagónica de la cordillera de los Andes, es conquistado por montañistas argentinos."
"1956-2-11","1956","en Bolivia se aprueba la ley que da el derecho al voto a los indígenas, las mujeres y los militares."
"1956-2-11","1956","en Europa se experimenta una gran ola de frío. En muchas zonas se registran las temperaturas más bajas del siglo."
"1956-2-11","1956","en la República Popular China, el Gobierno socializa las empresas privadas."
"1957-2-11","1957","en Venezuela, comienzan amores Carmen Teresa y Jorge Pascual"
"1958-2-11","1958","se registra el máximo solar más fuerte de la Historia humana."
"1958-2-11","1958","en China, el Congreso Popular chino acuerda introducir el alfabeto latino en el país."
"1958-2-11","1958","en China, Chen Yi suceede a Zhou Enlai como ministro de Asuntos Exteriores."
"1958-2-11","1958","en los Estados Unidos ―que hasta "
"1960-2-11","1960","en la frontera chino-india se producen incidentes que dejan un saldo de "
"1964-2-11","1964","en Limassol (Chipre) los griegos y los turcos se traban en combate."
"1966-2-11","1966","primera presentación del dúo argentino Bárbara y Dick, en el Festival Internacional de la canción de Mar del Plata."
"1967-2-11","1967","en China, fuerzas del Ejército controlan Pekín ante la agitación de los guardias rojos revolucionarios."
"1968-2-11","1968","en Oviedo se celebra el Congreso Provincial de Gitanos."
"1971-2-11","1971","el nuevo plan quinquenal soviético se orienta hacia la producción de bienes de consumo."
"1972-2-11","1972","en España se pone en funcionamiento la Central nuclear de Vandellós I, en Tarragona."
"1973-2-11","1973","en Vietnam del Sur se retiran las últimas unidades invasoras estadounidenses. Vietnam realiza la primera entrega de prisioneros estadounidenses."
"1974-2-11","1974","en Washington, representantes de los países occidentales celebran una conferencia sobre la energía."
"1975-2-11","1975","en Reino Unido, Margaret Thatcher es elegida líder del Partido Conservador."
"1976-2-11","1976","en España, los GRAPO liberan al presidente del Consejo de Estado, Antonio María de Oriol y Urquijo, secuestrado dos meses antes."
"1977-2-11","1977","en España, el Partido Comunista pide su legalización."
"1977-2-11","1977","en Chile, el cantante español Julio Iglesias actúa ante 100."
"1978-2-11","1978","China levanta una prohibición contra las obras de Aristóteles, William Shakespeare y Charles Dickens."
"1979-2-11","1979","en Irán, el ayatollah Jomeini, tras el triunfo de la revolución, toma el poder absoluto del país y proclama la República Islámica."
"1981-2-11","1981","en Tennessee, se filtran "
"1984-2-11","1984","en Cabo Cañaveral aterriza el transbordador espacial Challenger tras once días de permanencia en el espacio, durante los cuales dos astronautas realizaron el primer paseo espacial autopropulsado."
"1989-2-11","1989","en los Estados Unidos, Barbara Clementine Harris, sacerdotisa de la iglesia episcopaliana (Comunión anglicana, Iglesia Episcopal en los Estados Unidos de América), se convierte en la primera mujer ordenada obispa."
"1989-2-11","1989","Kabul (capital de Afganistán), es sitiada por la guerrilla y minada por la quinta columna durante la salida de los soldados soviéticos de la ciudad."
"1989-2-11","1989","Benazir Bhutto (primera ministra de Pakistán), visita Pekín."
"1990-2-11","1990","en Sudáfrica, Nelson Mandela sale de la cárcel después de "
"1990-2-11","1990","en Tokio (Japón), James Douglas derrota por K. O. a Mike Tyson en combate por el título mundial de los pesos pesados."
"1990-2-11","1990","el Partido del Trabajo de Albania decide la introducción del sistema pluripartidista."
"1991-2-11","1991","en La Haya (Países Bajos) se funda la UNPO (Organización de Naciones y Pueblos No Representados)."
"1991-2-11","1991","en Islandia, se reconoce la independencia de Lituania respecto a la Unión Soviética, aunque es el único país que lo acepta."
"1993-2-11","1993","en España se crean las dos primeras universidades privadas de Madrid: la Universidad Alfonso X el Sabio y la Universidad CEU San Pablo."
"1994-2-11","1994","el Gobierno español interviene técnicamente la cooperativa de viviendas PSV, al suspender temporalmente la actuación de sus órganos sociales."
"1997-2-11","1997","en Ecuador, el ex presidente del Congreso, Fabián Alarcón, se convierte en jefe del Estado hasta agosto de "
"1997-2-11","1997","se reúnen el Gobierno peruano y los miembros de un comando armado del Movimiento Revolucionario Túpac Amaru (MRTA)."
"1997-2-11","1997","en Tolosa (Guipúzcoa) el industrial Francisco Arratibel Fuentes (de "
"1997-2-11","1997","en los Estados Unidos, el transbordador Discovery es lanzado en una misión para arreglar el telescopio espacial Hubble."
"1998-2-11","1998","en Madrid se inaugura la 17.ª Feria Internacional de Arte Contemporáneo (ARCO)."
"1998-2-11","1998","en Berlín comienza el Berlinale de cine."
"1999-2-11","1999","en San Francisco (California), un jurado condena a Philip Morris (la empresa fabricante de los cigarrillos Marlboro) a pagar "
"2000-2-11","2000","en Reino Unido, el primer ministro Tony Blair anuncia la suspensión de todas las instituciones autónomas de Irlanda del Norte ante la negativa del IRA a entregar las armas."
"2000-2-11","2000","Telefónica y el banco BBVA sellan una alianza estratégica."
"2000-2-11","2000","en las aguas del río Danubio se desborda una balsa minera con un alto contenido de cianuro."
"2001-2-11","2001","el análisis del genoma confirma que el ser humano tiene poco más de "
"2001-2-11","2001","en España siete técnicos de la Compañía Lírica fallecen en un accidente de tráfico."
"2004-2-11","2004","en Diwaniya ―en el marco de la invasión a la República de Irak― cinco militares españoles resultan heridos en un ataque con explosivos."
"2005-2-11","2005","en Pakistán, el derrumbe de la presa de Shadi Kor acaba con la vida de al menos "
"2005-2-11","2005","en el estado de Vargas (Venezuela), un temporal de lluvias torrenciales deja "
"2005-2-11","2005","en España se inaugura el Año Internacional de la Física, declarado por la UNESCO con un acto en el Congreso de los Diputados."
"2005-2-11","2005","en la Patagonia, investigadores argentinos hallan el único yacimiento existente hasta el momento de huevos de dinosaurio con embriones en su interior."
"2005-2-11","2005","en Argentina, un motín en una cárcel concluye con "
"2006-2-11","2006","en Uganda, el presidente Yoweri Museveni sale ileso de un atentado."
"2006-2-11","2006","en Corpus Christi (Texas), el vicepresidente Dick Cheney le dispara accidentalmente una perdigonada (unos "
"2007-2-11","2007","se celebra el Referéndum sobre la despenalización del aborto en Portugal, ganando el SÍ con el 59,"
"2011-2-11","2011","en Egipto, Hosni Mubarak renuncia como presidente tras "
"2011-2-11","2011","en Concepción, Chile, a las 17:"
"2013-2-11","2013","el papa Benedicto XVI anuncia que renunciará a sus funciones el día 28 del mismo mes por razones de salud.[1]"
"2016-2-11","2016","se anuncia oficialmente la detección directa de ondas gravitacionales por el experimento LIGO."
"2018-2-11","2018","en Rusia, el vuelo 703 de Saratov Airlines se accidenta en la provincia de Moscú. En el siniestro perdieron la vida sus "
"881-2-12","881","el papa Juan VIII corona a Carlos III el Gordo como rey de Italia."
"1429-2-12","1429","las fuerzas inglesas bajo las órdenes de sir John Fastolf derrotan un convoy de armas a Orleans para atacar a Carlos I, duque de Borbón y John Stewart en la batalla de Rouvray (también conocida como la Batalla de los Arenques)."
"1502-2-12","1502","Isabel I publica un edicto que prohíbe el islam en la Corona de Castilla."
"1541-2-12","1541","en Chile, Pedro de Valdivia funda Santiago de la Nueva Extremadura (hoy Santiago, capital del país)."
"1542-2-12","1542","en América del Sur, la expedición de cincuenta hombres al mando de Francisco de Orellana descubre el río Amazonas."
"1554-2-12","1554","tras un año de estar encarcelada, Juana I de Inglaterra es decapitada por traición."
"1567-2-12","1567","en Chile, el capitán Martín Ruiz de Gamboa funda la ciudad de Castro."
"1577-2-12","1577","Juan de Austria firma con los sublevados de los Países Bajos el Edicto Perpetuo, por el que acuerda retirar los tercios españoles."
"1593-2-12","1593","en el marco de invasiones japonesas de Corea, aproximadamente "
"1689-2-12","1689","el Parlamento británico declara que la guerra contra Francia en "
"1700-2-12","1700","en Europa comienza la Gran Guerra del Norte."
"1719-2-12","1719","en los Países Bajos se funda la Onderlinge, la compañía de seguros más duradera de la historia."
"1733-2-12","1733","en los Estados Unidos, el británico James Oglethorpe funda la colonia de Georgia."
"1771-2-12","1771","en Suecia, Gustavo III se convierte en monarca."
"1814-2-12","1814","en Venezuela se libra la batalla de La Victoria, por la independencia del país, en la que los generales patriotas José Félix Ribas y Vicente Campo Elías junto con tropas formadas por seminaristas y estudiantes de la Universidad de Caracas, derrotan a las tropas realistas comandadas por José Tomás Boves y su segundo al mando, Francisco Tomás Morales."
"1817-2-12","1817","en la actual aldea de Los Andes, el ejército de los Andes al mando del general José de San Martín y tras cruzar la cordillera de los Andes vence a los españoles en la batalla de Chacabuco, fundamental en la independencia de Chile."
"1818-2-12","1818","ceremonia oficial de proclamación y jura de la independencia de Chile en Santiago, fecha del primer aniversario de la batalla de Chacabuco."
"1825-2-12","1825","en el Teatro del Conservatorio di San Sebastiano de Nápoles, Vincenzo Bellini estrena su ópera Adelson e Salvini."
"1825-2-12","1825","la tribu indígena norteamericana creek cede su última porción de tierras a los blancos y se marcha hacia el este."
"1826-2-12","1826","Pinoso (Alicante), obtiene la cédula de villazgo, independizándose de la ciudad de Monóvar."
"1832-2-12","1832","Ecuador se anexiona las Islas Galápagos."
"1853-2-12","1853","en Chile, Vicente Pérez Rosales funda la ciudad de Puerto Montt. Es nombrada en honor del presidente Manuel Montt."
"1855-2-12","1855","en los Estados Unidos se funda la Universidad Estatal de Míchigan."
"1868-2-12","1868","un enviado de Pío IX entrega a Isabel II de España la Rosa de Oro."
"1870-2-12","1870","en Utah (Estados Unidos) las mujeres obtienen la igualdad del voto."
"1879-2-12","1879","en Nueva York se inaugura el Madison Square Garden, la primera pista de patinaje artificial del mundo."
"1879-2-12","1879","en la Guerra salitrera (o Guerra del Pacífico), Chile arrebata a Bolivia la franja marítima de Atacama."
"1891-2-12","1891","en Colombia reaparece el periódico El Espectador, luego de haber sido suspendido en 1888."
"1894-2-12","1894","en el Café Términus de París, el anarquista Émile Henry hace estallar una bomba, matando a una persona e hiriendo a veinte."
"1899-2-12","1899","España vende a Alemania los archipiélagos de las Carolinas, Marianas y Palaos."
"1905-2-12","1905","el Zemstvo (asamblea de la nobleza rusa) pide al zar permanecer en el poder y participar en las reformas."
"1907-2-12","1907","el primer ministro británico Henry Campbell-Bannermann, pide en los Comunes una mayor autonomía para Irlanda."
"1908-2-12","1908","comienza la carrera de automóviles alrededor del mundo, de Nueva York a París."
"1909-2-12","1909","en los Estados Unidos se funda la Asociación Nacional para el Avance de las Personas de Color."
"1912-2-12","1912","abdica el emperador Xuantong (de la dinastía Qing), último emperador de China."
"1912-2-12","1912","la República de China adopta el calendario gregoriano."
"1914-2-12","1914","en Washington D. C. se coloca la primera piedra del Lincoln Memorial."
"1921-2-12","1921","se aprueba el pacto de unión entre Guatemala, Honduras y El Salvador, que establece una sola soberanía y representación. Adoptaron el nombre de Provincias Unidas de Centroamérica."
"1924-2-12","1924","Calvin Coolidge se convierte en el primer Presidente de los Estados Unidos que realiza un discurso en directo por la radio."
"1931-2-12","1931","el papa Pío XI inaugura la Radio Vaticano."
"1934-2-12","1934","en Austria se desarrolla la Guerra Civil Austriaca hasta el 16 de febrero."
"1934-2-12","1934","en España se inauguran las Juntas de Ofensiva Nacional-Sindicalista y deciden fusionarse a la Falange Española."
"1941-2-12","1941","el país de Perú declara la guerra a las Potencias del Eje durante la Segunda Guerra Mundial."
"1941-2-12","1941","en la ciudad italiana de Bordighera, durante la Segunda Guerra Mundial, el dictador español Franco se entrevista con el dictador italiano Mussolini."
"1942-2-12","1942","en Sevilla (España) el dictador Franco se entrevista con el dictador portugués Oliveira Salazar."
"1946-2-12","1946","al noroeste de Irlanda, finaliza la Operación Deadlight al hundir el último de los submarinos de la Kriegsmarine capturados por aliados."
"1946-2-12","1946","el veterano afrodescendiente del Ejército de los Estados Unidos, Isaac Woodard, fue severamente golpeado por un oficial de la policía de Carolina del Sur hasta el punto en que pierde la visión con ambos ojos. El incidente posterior galvaniza el movimiento por los derechos civiles y inspira parcialmente la película de Orson Welles, Touch of Evil."
"1949-2-12","1949","en Ecuador, mientras se realizaba una transmisión de la novela de ciencia ficción La guerra de los mundos (radio), en la emisora Radio Quito, las personas pensaron que se trataba de una cobertura real de noticias. Al enterarse de la farsa, incendiaron el edificio, donde además de la radio, también funcionaba el diario El Comercio. El hecho registró cinco fallecidos."
"1951-2-12","1951","boda de Reza Pahlevi, sha de Persia, con la princesa de origen alemán Soraya Esfandiary."
"1952-2-12","1952","en Inglaterra, Isabel II es proclamada reina."
"1961-2-12","1961","la Unión Soviética lanza la sonda Venera "
"1961-2-12","1961","en Argentina se realizan elecciones legislativas (con el peronismo proscripto como lo venía siendo desde la revolución de 1955). El socialista Alfredo Palacios es electo senador nacional por la Capital Federal."
"1962-2-12","1962","en el desierto del Sahara, soldados franceses encuentran momificado al aviador británico Bill Lancaster, que el 11 de abril de "
"1966-2-12","1966","Mujibur Rahman, anuncia los famosos Seis puntos en Karachi como manifiesto de la Liga Awami que será la base de la formación de Bangladés."
"1973-2-12","1973","Guerra de Vietnam: Los primeros prisioneros de los Estados Unidos son liberados por el Viet Cong."
"1973-2-12","1973","Juan María Bordaberry, presidente uruguayo, cede ante las presiones de los militares y cesa al Gobierno. Se crea un Consejo de Seguridad Nacional que garantiza el control militar del país."
"1974-2-12","1974","el presidente del Gobierno de España, Carlos Arias Navarro, dirige un discurso programático a las Cortes, considerado aperturista; dio lugar al llamado ""espíritu del 12 de febrero""."
"1980-2-12","1980","el Comité Olímpico Internacional rechaza el boicot a los Juegos Olímpicos de Moscú y su cambio de sede promovido por Estados Unidos."
"1988-2-12","1988","se da el incidente del choque del Mar Negro en 1988, en el que el crucero estadounidense USS Yorktown (CG-48) con misiles fue embestido intencionalmente por la fragata soviética Bezzavetnyy en aguas territoriales soviéticas, del que Yorktown reclama un paso inocente."
"1989-2-12","1989","Barbara Clementine Harris, sacerdotisa de la Iglesia Episcopaliana desde 1980, es proclamada la primera mujer obispa de la historia."
"1990-2-12","1990","Carmen Lawrence se convierte en la primera presidenta de la historia de Australia."
"1993-2-12","1993","en Reino Unido, dos niños de "
"1993-2-12","1993","se llega a un acuerdo entre el Gobierno sudafricano y el Congreso Nacional Africano (CNA) para formar un gobierno interino de unidad nacional tras las elecciones, lo que ayudará a suavizar la transición del apartheid (racismo) a la democracia."
"1997-2-12","1997","Japón lanza su observatorio espacial radioastronómico japonés Haruka."
"1997-2-12","1997","Hwang Jang-yop, secretario de Partido de los Trabajadores de Corea y arquitecto de la doctrina Juche en Corea del Norte, pide asilo en la embajada de Corea del Sur en Pekín."
"1999-2-12","1999","en los Estados Unidos, en el marco del caso Lewinsky, el Senado absuelve a Bill Clinton de las acusaciones de perjurio y obstrucción a la justicia."
"2001-2-12","2001","el satélite NEAR Shoemaker aterriza por primera vez en un asteroide ("
"2002-2-12","2002","en la Organización de las Naciones Unidas (Nueva York) se celebra el Día Mundial contra el Uso de Niños Soldados. Este día entra en vigor el Protocolo Facultativo a la Convención sobre los Derechos del Niño, impulsado por Organización de las Naciones Unidas, que elevaba la edad mínima de reclutamiento y participación en hostilidades de "
"2002-2-12","2002","en el Tribunal de La Haya comienza el juicio por crímenes de guerra a Slobodan Milošević (expresidente de República Federal de Yugoslavia)."
"2002-2-12","2002","en Jorramabad (Lorestán, en Irán) se estrella un Tupolev Tu-154 de la compañía Iran Air, matando a "
"2004-2-12","2004","la empresa juguetera Mattel anuncia la ruptura de Barbie y Ken, después de cuarenta y tres años de relaciones."
"2004-2-12","2004","la ciudad de San Francisco, California concede el derecho a las parejas del mismo género a casarse legalmente."
"2004-2-12","2004","a orillas del río Biobío son encontrados los restos mortales del joven estudiante chileno Jorge Matute Johns, desaparecido tras un confuso incidente ocurrido en una discoteca de Talcahuano el 20 de noviembre de 1999."
"2005-2-12","2005","se incendia la Torre Windsor en Madrid, España."
"2007-2-12","2007","en Trolley Square (Salt Lake City), un asesino abre el fuego desde un muro, matando a "
"2008-2-12","2008","Bolivia se declara en estado de emergencia tras casi "
"2008-2-12","2008","en Damasco, la explosión de una bomba mata a Imad Mugniyeh, destacado miembro de Hizbolá y responsable de la muerte de decenas de personas."
"2009-2-12","2009","en los suburbios de Nueva York (Estados Unidos) se estrella el Vuelo 3407 de Continental Airlines. Mueren "
"2012-2-12","2012","en Venezuela se llevan a cabo las primarias de la Mesa de la Unidad Democrática (MUD)."
"2014-2-12","2014","en Venezuela, en el marco del bicentenario del Día de la Juventud, se llevan a cabo protestas estudiantiles."
"2016-2-12","2016","en Cuba, reunión y firma de una declaración conjunta ente el papa Francisco y el Patriarca de Moscú Cirilo I."
"2016-2-12","2016","inicia la visita pastoral del papa Francisco a México."
"2017-2-12","2017","la banda Megadeth ganó el Grammy en la categoría de Mejor Interpretación de Metal, por la canción «Dystopia»."
"2019-2-12","2019","en el Tribunal Supremo de España comienza el juicio a los líderes del proceso independentista catalán.[1]"
"863-2-13","863","la ciudad de Dvin (Armenia) ―de "
"1352-2-13","1352","en la actual Italia, la alianza entre venecianos y catalanes se impone a los genoveses en su pugna por la Corona de Aragón."
"1542-2-13","1542","en Londres (Inglaterra), el rey Enrique VIII ordena la ejecución de su quinta esposa, Catalina Howard."
"1542-2-13","1542","en Brasil, los conquistadores españoles Gonzalo Pizarro y Francisco de Orellana son los primeros europeos en conocer el río Amazonas."
"1655-2-13","1655","en Perú, un gran terremoto destruye gran parte de Lima y su puerto, Callao."
"1668-2-13","1668","en Lisboa se firma el Tratado de Lisboa, mediante el cual España reconoce la independencia de Portugal."
